configuration,sample,block,token_partition,relative_mse,cosine,max_abs_error
repeat,sample-0066.npz,10,image_wrist,0.0,1.000001072883606,0.0
repeat,sample-0066.npz,10,proprio,0.0,1.0000004768371582,0.0
repeat,sample-0066.npz,10,text,0.0,0.9999985694885254,0.0
repeat,sample-0066.npz,10,action_readout,0.0,0.9999837875366211,0.0
repeat,sample-0066.npz,11,image_main,0.0,0.9999991655349731,0.0
repeat,sample-0066.npz,11,image_wrist,0.0,1.000002145767212,0.0
repeat,sample-0066.npz,11,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0066.npz,11,text,0.0,0.9999991059303284,0.0
repeat,sample-0066.npz,11,action_readout,0.0,0.9999825358390808,0.0
repeat,sample-0066.npz,12,image_main,0.0,0.9999972581863403,0.0
repeat,sample-0066.npz,12,image_wrist,0.0,1.0000017881393433,0.0
repeat,sample-0066.npz,12,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0066.npz,12,text,0.0,1.000000238418579,0.0
repeat,sample-0066.npz,12,action_readout,0.0,0.9999837279319763,0.0
